research_category	feature_name	source_type	habitat	final_clade	final_clade_name	n_unique_MAG_all	mean_score_pct_all	prevalence_ge_50_pct_all	prevalence_ge_75_pct_all	n_unique_MAG_excluding_dual_copy	mean_score_pct_excluding_dual_copy	prevalence_ge_50_pct_excluding_dual_copy	prevalence_ge_75_pct_excluding_dual_copy	mean_score_delta_pct	prevalence_ge_50_delta_pct	prevalence_ge_75_delta_pct	exclusion_effect
Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	IS	Clade 4	IdrA-associated with DIRM-like synteny	20	28.9655172413793	0	0	20	28.9655172413793	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	AS	Clade 1	Canonical AioA-associated	1	31.0344827586207	0	0	0	NA	NA	NA	NA	NA	NA	cell becomes empty; original n=1 was descriptive only
Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	AS	Clade 2	Unknown/uncertain DMSOR	1	17.2413793103448	0	0	1	17.2413793103448	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	AS	Clade 3	IdrA-associated without complete DIRM-like synteny	1	31.0344827586207	0	0	0	NA	NA	NA	NA	NA	NA	cell becomes empty; original n=1 was descriptive only
Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	6	26.4367816091954	0	0	6	26.4367816091954	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	NS	Clade 1	Canonical AioA-associated	1	24.1379310344828	0	0	1	24.1379310344828	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	NS	Clade 2	Unknown/uncertain DMSOR	1	17.2413793103448	0	0	1	17.2413793103448	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	IS	Clade 1	Canonical AioA-associated	1	50	100	0	1	50	100	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	IS	Clade 2	Unknown/uncertain DMSOR	5	45	60	0	5	45	60	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	12	44.4444444444444	41.6666666666667	0	12	44.4444444444444	41.6666666666667	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	IS	Clade 4	IdrA-associated with DIRM-like synteny	20	47.5	75	0	20	47.5	75	0	0	0	0	unchanged; dual-copy MAG absent from this cell
